wareh,capacity,buffer,QMK,CHIM,CHI,KLQ,GO,GP,GS,BS,RND
3.0,7000.0,0.0,150872.0,159017.0,151263.0,150872.0,182897.0,175101.0,173656.0,173656.0,186597.0
3.0,7000.0,0.0,149686.0,160341.0,151064.0,149686.0,180243.0,171971.0,167583.0,167583.0,186247.0
3.0,7000.0,0.0,149313.0,156661.0,149609.0,149313.0,176519.0,169173.0,162465.0,162465.0,185281.0
4.0,7000.0,0.0,160507.0,171086.0,160614.0,160507.0,202047.0,194917.0,193536.0,193536.0,206559.0
4.0,7000.0,0.0,159895.0,169240.0,159408.0,159895.0,199765.0,191967.0,187991.0,187991.0,206290.0
4.0,7000.0,0.0,157827.0,168009.0,159140.0,157827.0,197529.0,187701.0,183727.0,183727.0,205497.0
2.0,8400.0,1400.0,120601.0,125231.0,121938.0,120601.0,131974.0,129678.0,127778.0,126777.0,144559.0
2.0,8400.0,1400.0,118773.0,121615.0,118903.0,118773.0,128720.0,126441.0,121966.0,122184.0,143730.0
2.0,8400.0,1400.0,115372.0,116599.0,115258.0,115372.0,123817.0,122669.0,116661.0,116984.0,141046.0
3.0,8400.0,1400.0,140474.0,146814.0,141252.0,140474.0,157122.0,155915.0,155680.0,156674.0,174169.0
3.0,8400.0,1400.0,138770.0,148652.0,148652.0,138770.0,154097.0,152085.0,148049.0,151825.0,173862.0
3.0,8400.0,1400.0,136220.0,142197.0,136542.0,136220.0,151023.0,147848.0,144006.0,146822.0,172932.0
4.0,8400.0,1400.0,151707.0,157251.0,151883.0,151707.0,175617.0,172935.0,173276.0,178045.0,193538.0
4.0,8400.0,1400.0,151669.0,159902.0,151822.0,151669.0,174127.0,170019.0,167767.0,173701.0,193273.0
4.0,8400.0,1400.0,148974.0,160550.0,148754.0,148974.0,171708.0,167975.0,163704.0,168873.0,192722.0
2.0,8000.0,0.0,133118.0,143294.0,133372.0,133118.0,154139.0,148404.0,144706.0,144706.0,154982.0
2.0,8000.0,0.0,133577.0,139290.0,132816.0,133577.0,151689.0,144595.0,139434.0,139434.0,154540.0
2.0,8000.0,0.0,129872.0,134473.0,132348.0,129872.0,147892.0,140801.0,134261.0,134261.0,153208.0
3.0,8000.0,0.0,147699.0,158781.0,148847.0,147699.0,184098.0,175947.0,174037.0,174037.0,186409.0
3.0,8000.0,0.0,146837.0,158422.0,148382.0,146837.0,181291.0,172129.0,168744.0,168744.0,186067.0
3.0,8000.0,0.0,146744.0,156749.0,147966.0,146744.0,177539.0,169074.0,163928.0,163928.0,185107.0
4.0,8000.0,0.0,156382.0,167052.0,156199.0,156382.0,202521.0,195516.0,194804.0,194804.0,206337.0
4.0,8000.0,0.0,156574.0,166057.0,156987.0,156574.0,200165.0,192573.0,189513.0,189513.0,206069.0
4.0,8000.0,0.0,155324.0,165876.0,155457.0,155324.0,197554.0,189651.0,185197.0,185197.0,205262.0
2.0,9600.0,1600.0,119707.0,125506.0,120844.0,119707.0,132485.0,130367.0,128332.0,127714.0,144507.0
2.0,9600.0,1600.0,117499.0,121933.0,118640.0,117499.0,129700.0,127139.0,122964.0,123251.0,143617.0
2.0,9600.0,1600.0,115044.0,117378.0,115522.0,115044.0,124619.0,122690.0,117904.0,118033.0,140921.0
3.0,9600.0,1600.0,138124.0,146342.0,138608.0,138124.0,157244.0,156059.0,154282.0,157892.0,174008.0
3.0,9600.0,1600.0,136720.0,146607.0,137170.0,136720.0,154440.0,152017.0,148602.0,153270.0,173701.0
3.0,9600.0,1600.0,133846.0,144875.0,135230.0,133846.0,151168.0,148325.0,143862.0,148153.0,172733.0
4.0,9600.0,1600.0,148358.0,159274.0,148360.0,148358.0,175500.0,172889.0,172481.0,179149.0,193291.0
4.0,9600.0,1600.0,147149.0,157231.0,148175.0,147149.0,173305.0,170191.0,168817.0,174965.0,193092.0
4.0,9600.0,1600.0,146988.0,156590.0,146558.0,146988.0,171191.0,166822.0,164892.0,170316.0,192410.0
2.0,9000.0,0.0,131687.0,138418.0,131937.0,131687.0,154801.0,148102.0,145461.0,145461.0,155113.0
2.0,9000.0,0.0,131773.0,140512.0,129278.0,131773.0,152020.0,144727.0,139825.0,139825.0,154668.0
2.0,9000.0,0.0,127811.0,134709.0,130915.0,127811.0,148082.0,139738.0,134580.0,134580.0,153307.0
3.0,9000.0,0.0,145489.0,153989.0,145386.0,145489.0,184659.0,175722.0,175640.0,175640.0,186623.0
3.0,9000.0,0.0,144282.0,154367.0,143599.0,144282.0,182200.0,172774.0,169156.0,169156.0,186260.0
3.0,9000.0,0.0,143470.0,154625.0,142449.0,143470.0,178087.0,169116.0,164354.0,164354.0,185294.0
