wareh,capacity,buffer,QMK,CHIM,CHI,KLQ,GO,GP,GS,BS
2.0,6000.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,6000.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.0,6000.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.0,6000.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.0,6000.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.0,6000.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.0,6000.0,1000.0,2.75487060028716e-15,0.0,0.0,2.75487060028716e-15,0.0,0.0,0.0,0.0
4.0,6000.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,6000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,6000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,6000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.0,6000.0,0.0,1.1999501305643437e-16,0.0,0.0,1.1999501305643437e-16,0.0,0.0,0.0,0.0
3.0,6000.0,0.0,2.785600265102288e-15,0.0,0.0,2.785600265102288e-15,0.0,0.0,0.0,0.0
3.0,6000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.0,6000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.0,6000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.0,6000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,7200.0,1200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,7200.0,1200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,7200.0,1200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.0,7200.0,1200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.0,7200.0,1200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.0,7200.0,1200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.0,7200.0,1200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.0,7200.0,1200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.0,7200.0,1200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,7000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,7000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,7000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.0,7000.0,0.0,1.893601750650593e-15,0.0,0.0,1.893601750650593e-15,0.0,0.0,0.0,0.0
3.0,7000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.0,7000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.0,7000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.0,7000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.0,7000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,8400.0,1400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,8400.0,1400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,8400.0,1400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.0,8400.0,1400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.0,8400.0,1400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.0,8400.0,1400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.0,8400.0,1400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.0,8400.0,1400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.0,8400.0,1400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,8000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,8000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,8000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.0,8000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.0,8000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.0,8000.0,0.0,1.2159782095608307e-14,0.0,0.0,1.2159782095608307e-14,0.0,0.0,0.0,0.0
4.0,8000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
