wareh,capacity,buffer,QMK,CHIM,CHI,KL,KLQ,GO,GP,GS,BS,RND
3.0,800.0,0.0,15824.0,15183.0,14979.0,18534.0,15824.0,17434.0,15127.0,15792.0,15792.0,18683.0
3.0,800.0,0.0,14581.0,14623.0,14449.0,18333.0,14581.0,16894.0,14590.0,15079.0,15079.0,18574.0
4.0,800.0,0.0,17308.0,17646.0,17371.0,20493.0,17308.0,19919.0,17712.0,17867.0,17867.0,20718.0
4.0,800.0,0.0,16872.0,17080.0,16881.0,20505.0,16872.0,19493.0,17160.0,17276.0,17276.0,20678.0
4.0,800.0,0.0,16402.0,16539.0,16369.0,20322.0,16402.0,19001.0,16648.0,16750.0,16750.0,20593.0
2.0,960.0,160.0,11283.0,11296.0,11281.0,15498.0,11283.0,12020.0,11316.0,11294.0,11291.0,14478.0
2.0,960.0,160.0,11769.0,10878.0,10869.0,15393.0,11769.0,11485.0,10921.0,10887.0,10891.0,14410.0
2.0,960.0,160.0,12221.0,10580.0,10569.0,15425.0,12221.0,11003.0,10619.0,10568.0,10572.0,14118.0
3.0,960.0,160.0,13613.0,14192.0,13783.0,18491.0,13613.0,14877.0,14316.0,14360.0,14077.0,17456.0
3.0,960.0,160.0,13314.0,13637.0,13361.0,18406.0,13314.0,14587.0,13799.0,13820.0,13512.0,17435.0
3.0,960.0,160.0,12926.0,13023.0,12842.0,18520.0,12926.0,14265.0,13268.0,13229.0,12959.0,17343.0
4.0,960.0,160.0,15590.0,16081.0,15845.0,20432.0,15590.0,16793.0,16313.0,16119.0,16185.0,19380.0
4.0,960.0,160.0,15182.0,15489.0,15489.0,20359.0,15182.0,16457.0,15772.0,15651.0,15642.0,19374.0
4.0,960.0,160.0,15721.0,15054.0,15054.0,20436.0,15721.0,16037.0,15261.0,15202.0,15082.0,19306.0
2.0,900.0,0.0,12640.0,12657.0,12646.0,15363.0,12640.0,15246.0,12716.0,12747.0,12747.0,15501.0
2.0,900.0,0.0,12036.0,12043.0,12037.0,15290.0,12036.0,14752.0,12105.0,12136.0,12136.0,15463.0
2.0,900.0,0.0,14019.0,11508.0,11508.0,15141.0,14019.0,14108.0,11540.0,11617.0,11617.0,15328.0
3.0,900.0,0.0,15338.0,15455.0,15346.0,18593.0,15338.0,18339.0,15525.0,15699.0,15699.0,18658.0
3.0,900.0,0.0,14809.0,14895.0,14816.0,18422.0,14809.0,18067.0,14981.0,16005.0,16005.0,18618.0
3.0,900.0,0.0,14391.0,14440.0,14258.0,18274.0,14391.0,17697.0,14469.0,16359.0,16359.0,18521.0
