wareh,capacity,buffer,QMK,CHIM,CHI,KL,KLQ,GP,GS,BS,RND
4.0,800.0,0.0,18287.0,18272.0,18260.0,20619.0,18287.0,18327.0,18631.0,18631.0,20714.0
4.0,800.0,0.0,17828.0,17815.0,17831.0,20366.0,17828.0,17864.0,18533.0,18533.0,20645.0
2.0,880.0,80.0,13033.0,13032.0,13037.0,0.0,0.0,13092.0,13029.0,13041.0,15045.0
2.0,880.0,80.0,12466.0,12459.0,12450.0,0.0,0.0,12485.0,12462.0,12483.0,14987.0
2.0,880.0,80.0,14105.0,11917.0,11917.0,0.0,0.0,11957.0,11913.0,11933.0,14794.0
3.0,880.0,80.0,15996.0,15835.0,15835.0,0.0,0.0,15907.0,15873.0,15973.0,18095.0
3.0,880.0,80.0,15661.0,15356.0,15356.0,0.0,0.0,15399.0,15999.0,15430.0,18070.0
3.0,880.0,80.0,15218.0,14870.0,14870.0,0.0,0.0,14876.0,16187.0,14886.0,17971.0
4.0,880.0,80.0,18045.0,17988.0,17988.0,0.0,0.0,18032.0,17999.0,18098.0,20071.0
4.0,880.0,80.0,17673.0,17510.0,17510.0,0.0,0.0,17563.0,17880.0,17664.0,20059.0
4.0,880.0,80.0,17150.0,17017.0,17017.0,0.0,0.0,17114.0,17776.0,17134.0,19994.0
2.0,960.0,160.0,12255.0,12243.0,12248.0,0.0,0.0,12270.0,12249.0,12258.0,14500.0
2.0,960.0,160.0,12754.0,11756.0,11757.0,0.0,0.0,11782.0,11762.0,11757.0,14405.0
2.0,960.0,160.0,13202.0,11236.0,11253.0,0.0,0.0,11301.0,11237.0,11241.0,14141.0
3.0,960.0,160.0,15139.0,15176.0,15176.0,0.0,0.0,15212.0,15185.0,15250.0,17465.0
3.0,960.0,160.0,14797.0,14704.0,14704.0,0.0,0.0,14724.0,15238.0,14736.0,17427.0
3.0,960.0,160.0,14390.0,14167.0,14167.0,0.0,0.0,14202.0,15329.0,14185.0,17331.0
4.0,960.0,160.0,17151.0,17326.0,17128.0,0.0,0.0,17338.0,17319.0,17441.0,19423.0
4.0,960.0,160.0,16796.0,16858.0,16858.0,0.0,0.0,16906.0,17255.0,16955.0,19397.0
4.0,960.0,160.0,17323.0,16330.0,16330.0,0.0,0.0,16402.0,17903.0,16443.0,19355.0
2.0,900.0,0.0,13789.0,13780.0,13788.0,15428.0,13789.0,13820.0,13794.0,13794.0,15504.0
2.0,900.0,0.0,13218.0,13219.0,13221.0,15397.0,13218.0,13234.0,13241.0,13241.0,15467.0
2.0,900.0,0.0,14867.0,12665.0,12662.0,15045.0,14867.0,12702.0,12689.0,12689.0,15328.0
3.0,900.0,0.0,16604.0,16604.0,16604.0,18610.0,16604.0,16680.0,16743.0,16743.0,18657.0
3.0,900.0,0.0,16146.0,16145.0,16143.0,18417.0,16146.0,16198.0,16358.0,16358.0,18634.0
3.0,900.0,0.0,15939.0,15635.0,15647.0,18202.0,15939.0,15708.0,15667.0,15667.0,18525.0
4.0,900.0,0.0,18630.0,18591.0,18644.0,20625.0,18630.0,18645.0,18646.0,18646.0,20659.0
4.0,900.0,0.0,18116.0,18106.0,18114.0,20512.0,18116.0,18203.0,18464.0,18464.0,20627.0
4.0,900.0,0.0,18594.0,17700.0,17685.0,20308.0,18594.0,17810.0,18204.0,18204.0,20544.0
2.0,990.0,90.0,13006.0,13006.0,13008.0,0.0,0.0,13007.0,13003.0,13008.0,15002.0
2.0,990.0,90.0,13538.0,12452.0,12457.0,0.0,0.0,12469.0,12448.0,12449.0,14954.0
2.0,990.0,90.0,14051.0,11923.0,11925.0,0.0,0.0,11945.0,11895.0,11902.0,14751.0
3.0,990.0,90.0,15865.0,15809.0,15809.0,0.0,0.0,15884.0,15843.0,15958.0,18023.0
3.0,990.0,90.0,15569.0,15347.0,15347.0,0.0,0.0,15439.0,15472.0,15409.0,18011.0
3.0,990.0,90.0,14908.0,14823.0,14823.0,0.0,0.0,14866.0,14864.0,14867.0,17908.0
4.0,990.0,90.0,17985.0,17810.0,17810.0,0.0,0.0,17866.0,17848.0,17946.0,19987.0
4.0,990.0,90.0,18119.0,17366.0,17366.0,0.0,0.0,17493.0,17653.0,17503.0,19976.0
4.0,990.0,90.0,18271.0,16890.0,16890.0,0.0,0.0,17006.0,16945.0,17029.0,19907.0
2.0,1080.0,180.0,12230.0,12237.0,12230.0,0.0,0.0,12262.0,12225.0,12228.0,14441.0
2.0,1080.0,180.0,12689.0,11724.0,11742.0,0.0,0.0,11768.0,11716.0,11715.0,14377.0
2.0,1080.0,180.0,13129.0,11276.0,11276.0,0.0,0.0,11263.0,11264.0,11260.0,14107.0
3.0,1080.0,180.0,15096.0,15164.0,15164.0,0.0,0.0,15202.0,15158.0,15249.0,17414.0
3.0,1080.0,180.0,14706.0,14643.0,14643.0,0.0,0.0,14683.0,14657.0,14687.0,17374.0
3.0,1080.0,180.0,14294.0,14130.0,14130.0,0.0,0.0,14173.0,14141.0,14119.0,17291.0
4.0,1080.0,180.0,17034.0,17222.0,17093.0,0.0,0.0,17261.0,17199.0,17284.0,19339.0
4.0,1080.0,180.0,16985.0,16738.0,16738.0,0.0,0.0,16813.0,16770.0,16836.0,19329.0
