dependency,skus,wareh,diff,buffer,mode,benchiter,orders,train_test,parcel_train,parcel_test,duration,cap_used,local_search,gap
ED,1000,2,0.1,0.0,GS,1,20000,0.5,12871,12972,0.0121283,1000,0,0.0
ED,1000,2,0.1,0.0,BS,1,20000,0.5,12871,12972,0.0107599,1000,0,0.0
ED,1000,2,0.1,0.0,RND,1,20000,0.5,15409,15442,0.0140827,1000,0,0.0
ED,1000,2,0.1,0.0,CHIM_1.0,1,40000,0.5,25395,25524,0.2442149,1000,0,0.0
ED,1000,2,0.1,0.0,CHIM_0.1,1,40000,0.5,25394,25509,0.2502075,1000,0,0.0
ED,1000,2,0.1,0.0,CHIM_0.01,1,40000,0.5,25394,25509,0.2444063,1000,0,0.0
ED,1000,2,0.1,0.0,CHIM_0.001,1,40000,0.5,25390,25488,0.2518917,1000,0,0.0
ED,1000,2,0.1,0.0,CHIM_0.0001,1,40000,0.5,25398,25481,0.2548175,1000,0,0.0
ED,1000,2,0.1,0.0,CHIM_1.0e-5,1,40000,0.5,25398,25481,0.2461329,1000,0,0.0
ED,1000,2,0.1,0.0,CHIM_1.0e-6,1,40000,0.5,25398,25481,0.2489654,1000,0,0.0
ED,1000,2,0.1,0.0,CHIM_1.0e-7,1,40000,0.5,25397,25475,0.2469539,1000,0,0.0
ED,1000,2,0.1,0.0,CHIM_1.0e-8,1,40000,0.5,25397,25475,0.2508425,1000,0,0.0
ED,1000,2,0.1,0.0,CHIM_1.0e-9,1,40000,0.5,25397,25475,0.250533,1000,0,0.0
ED,1000,2,0.1,0.0,CHI_1.0,1,40000,0.5,25365,25503,0.2505256,1000,4,0.0
ED,1000,2,0.1,0.0,CHI_0.1,1,40000,0.5,25368,25466,0.2540561,1000,3,0.0
ED,1000,2,0.1,0.0,CHI_0.01,1,40000,0.5,25368,25466,0.2483217,1000,3,0.0
ED,1000,2,0.1,0.0,CHI_0.001,1,40000,0.5,25368,25466,0.2487641,1000,3,0.0
ED,1000,2,0.1,0.0,CHI_0.0001,1,40000,0.5,25368,25466,0.2555866,1000,3,0.0
ED,1000,2,0.1,0.0,CHI_1.0e-5,1,40000,0.5,25368,25466,0.2558969,1000,3,0.0
ED,1000,2,0.1,0.0,CHI_1.0e-6,1,40000,0.5,25368,25466,0.255632,1000,3,0.0
ED,1000,2,0.1,0.0,CHI_1.0e-7,1,40000,0.5,25368,25466,0.2545545,1000,3,0.0
ED,1000,2,0.1,0.0,CHI_1.0e-8,1,40000,0.5,25368,25466,0.2514964,1000,3,0.0
ED,1000,2,0.1,0.0,CHI_1.0e-9,1,40000,0.5,25368,25466,0.248048,1000,3,0.0
ED,1000,2,0.1,0.0,GP,1,40000,0.5,28330,28558,0.1204551,1000,0,0.0
ED,1000,2,0.1,0.0,GS,1,40000,0.5,27856,27886,0.0120275,1000,0,0.0
ED,1000,2,0.1,0.0,BS,1,40000,0.5,27856,27886,0.0122447,1000,0,0.0
ED,1000,2,0.1,0.0,RND,1,40000,0.5,30946,30842,0.0152204,1000,0,0.0
ED,1000,2,0.1,0.0,CHIM_1.0,1,60000,0.5,38157,38209,0.2497762,1000,0,0.0
ED,1000,2,0.1,0.0,CHIM_0.1,1,60000,0.5,38157,38209,0.2527312,1000,0,0.0
ED,1000,2,0.1,0.0,CHIM_0.01,1,60000,0.5,38146,38188,0.2465529,1000,0,0.0
ED,1000,2,0.1,0.0,CHIM_0.001,1,60000,0.5,38146,38188,0.2457656,1000,0,0.0
ED,1000,2,0.1,0.0,CHIM_0.0001,1,60000,0.5,38146,38188,0.2570976,1000,0,0.0
ED,1000,2,0.1,0.0,CHIM_1.0e-5,1,60000,0.5,38157,38209,0.2496532,1000,0,0.0
ED,1000,2,0.1,0.0,CHIM_1.0e-6,1,60000,0.5,38157,38209,0.2454214,1000,0,0.0
ED,1000,2,0.1,0.0,CHIM_1.0e-7,1,60000,0.5,38161,38204,0.2460851,1000,0,0.0
ED,1000,2,0.1,0.0,CHIM_1.0e-8,1,60000,0.5,38161,38204,0.2505841,1000,0,0.0
ED,1000,2,0.1,0.0,CHIM_1.0e-9,1,60000,0.5,38162,38200,0.2502634,1000,0,0.0
ED,1000,2,0.1,0.0,CHI_1.0,1,60000,0.5,38109,38169,0.2622231,1000,3,0.0
ED,1000,2,0.1,0.0,CHI_0.1,1,60000,0.5,38109,38169,0.2548103,1000,3,0.0
ED,1000,2,0.1,0.0,CHI_0.01,1,60000,0.5,38109,38169,0.2532528,1000,3,0.0
ED,1000,2,0.1,0.0,CHI_0.001,1,60000,0.5,38109,38169,0.2560481,1000,3,0.0
ED,1000,2,0.1,0.0,CHI_0.0001,1,60000,0.5,38109,38169,0.2528043,1000,3,0.0
ED,1000,2,0.1,0.0,CHI_1.0e-5,1,60000,0.5,38109,38169,0.2552849,1000,3,0.0
ED,1000,2,0.1,0.0,CHI_1.0e-6,1,60000,0.5,38109,38169,0.2597995,1000,3,0.0
ED,1000,2,0.1,0.0,CHI_1.0e-7,1,60000,0.5,38109,38143,0.2482321,1000,2,0.0
ED,1000,2,0.1,0.0,CHI_1.0e-8,1,60000,0.5,38109,38143,0.2496353,1000,2,0.0
ED,1000,2,0.1,0.0,CHI_1.0e-9,1,60000,0.5,38109,38169,0.2493479,1000,3,0.0
ED,1000,2,0.1,0.0,GP,1,60000,0.5,44182,44253,0.0693943,1000,0,0.0
ED,1000,2,0.1,0.0,GS,1,60000,0.5,38245,38218,0.0138881,1000,0,0.0
ED,1000,2,0.1,0.0,BS,1,60000,0.5,38245,38218,0.0138784,1000,0,0.0
ED,1000,2,0.1,0.0,RND,1,60000,0.5,46363,46337,0.0159411,1000,0,0.0
ED,1000,2,0.1,0.0,CHIM_1.0,1,80000,0.5,50545,50829,0.2554672,1000,0,0.0
ED,1000,2,0.1,0.0,CHIM_0.1,1,80000,0.5,50545,50829,0.2537491,1000,0,0.0
ED,1000,2,0.1,0.0,CHIM_0.01,1,80000,0.5,50545,50829,0.2499885,1000,0,0.0
ED,1000,2,0.1,0.0,CHIM_0.001,1,80000,0.5,50545,50829,0.2492593,1000,0,0.0
ED,1000,2,0.1,0.0,CHIM_0.0001,1,80000,0.5,50545,50829,0.2621052,1000,0,0.0
ED,1000,2,0.1,0.0,CHIM_1.0e-5,1,80000,0.5,50542,50809,0.2556197,1000,0,0.0
ED,1000,2,0.1,0.0,CHIM_1.0e-6,1,80000,0.5,50542,50809,0.2571534,1000,0,0.0
ED,1000,2,0.1,0.0,CHIM_1.0e-7,1,80000,0.5,50542,50809,0.2552586,1000,0,0.0
ED,1000,2,0.1,0.0,CHIM_1.0e-8,1,80000,0.5,50542,50809,0.2568319,1000,0,0.0
ED,1000,2,0.1,0.0,CHIM_1.0e-9,1,80000,0.5,50542,50809,0.2505526,1000,0,0.0
ED,1000,2,0.1,0.0,CHI_1.0,1,80000,0.5,50493,50768,0.2617419,1000,3,0.0
ED,1000,2,0.1,0.0,CHI_0.1,1,80000,0.5,50493,50768,0.2654366,1000,3,0.0
ED,1000,2,0.1,0.0,CHI_0.01,1,80000,0.5,50493,50768,0.2604368,1000,3,0.0
ED,1000,2,0.1,0.0,CHI_0.001,1,80000,0.5,50493,50768,0.254385,1000,3,0.0
ED,1000,2,0.1,0.0,CHI_0.0001,1,80000,0.5,50493,50768,0.2560577,1000,3,0.0
ED,1000,2,0.1,0.0,CHI_1.0e-5,1,80000,0.5,50493,50768,0.2625924,1000,3,0.0
ED,1000,2,0.1,0.0,CHI_1.0e-6,1,80000,0.5,50493,50768,0.2605609,1000,3,0.0
ED,1000,2,0.1,0.0,CHI_1.0e-7,1,80000,0.5,50493,50768,0.2603346,1000,3,0.0
