dependency,skus,wareh,diff,buffer,weight_mode,mode,benchiter,orders,train_test,parcel_train,parcel_test,flexibility,duration,cap_used,local_search,gap
HD-VF,100,8,0.0,0.2,uniform,CHI_1.0e-5,1,2000,0.5,651,658,0.598,1.329721125,120,0,0.0
HD-VF,100,8,0.0,0.2,uniform,CHI_1.0e-5_LS,1,2000,0.5,600,621,0.607,1.331584901,120,6,0.0
HD-VF,100,8,0.2,0.2,uniform,CHI_1.0e-5,1,200,0.5,65,100,0.43,1.039079062,120,0,0.0
HD-VF,100,8,0.2,0.2,uniform,CHI_1.0e-5_LS,1,200,0.5,42,91,0.43,1.0393494690000002,120,3,0.0
HD-VF,100,8,0.2,0.2,uniform,CHI_1.0e-5,1,1000,0.5,267,309,0.568,1.080497821,120,0,0.0
HD-VF,100,8,0.2,0.2,uniform,CHI_1.0e-5_LS,1,1000,0.5,242,306,0.574,1.081109908,120,3,0.0
HD-VF,100,8,0.2,0.2,uniform,CHI_1.0e-5,1,2000,0.5,567,591,0.856,1.297656897,120,0,0.0
HD-VF,100,8,0.2,0.2,uniform,CHI_1.0e-5_LS,1,2000,0.5,567,591,0.856,1.298379743,120,1,0.0
HD-VF,100,10,0.0,0.2,uniform,CHI_1.0e-5,1,200,0.5,101,112,0.3,1.280899853,120,0,0.0
HD-VF,100,10,0.0,0.2,uniform,CHI_1.0e-5_LS,1,200,0.5,72,99,0.34,1.281381988,120,4,0.0
HD-VF,100,10,0.0,0.2,uniform,CHI_1.0e-5,1,1000,0.5,354,390,0.572,1.059871092,120,0,0.0
HD-VF,100,10,0.0,0.2,uniform,CHI_1.0e-5_LS,1,1000,0.5,327,378,0.582,1.0606942150000003,120,3,0.0
HD-VF,100,10,0.0,0.2,uniform,CHI_1.0e-5,1,2000,0.5,639,670,0.627,0.944817178,120,0,0.0
HD-VF,100,10,0.0,0.2,uniform,CHI_1.0e-5_LS,1,2000,0.5,589,646,0.646,0.9468340909999999,120,6,0.0
HD-VF,100,10,0.2,0.2,uniform,CHI_1.0e-5,1,200,0.5,76,112,0.28,1.220630864,120,0,0.0
HD-VF,100,10,0.2,0.2,uniform,CHI_1.0e-5_LS,1,200,0.5,52,93,0.32,1.2209427290000001,120,3,0.0
HD-VF,100,10,0.2,0.2,uniform,CHI_1.0e-5,1,1000,0.5,331,375,0.614,1.144025601,120,0,0.0
HD-VF,100,10,0.2,0.2,uniform,CHI_1.0e-5_LS,1,1000,0.5,260,301,0.732,1.145646561,120,9,0.0
HD-VF,100,10,0.2,0.2,uniform,CHI_1.0e-5,1,2000,0.5,627,626,0.658,1.055781012,120,0,0.0
HD-VF,100,10,0.2,0.2,uniform,CHI_1.0e-5_LS,1,2000,0.5,622,667,0.623,1.056870395,120,2,0.0
HD-VF,100,2,0.0,0.2,frequency,CHI_1.0e-5,1,200,0.5,46,48,0.52,5.249514014,116,0,0.0
HD-VF,100,2,0.0,0.2,frequency,CHI_1.0e-5,1,1000,0.5,149,175,0.682,0.90475882,131,0,0.0
HD-VF,100,2,0.0,0.2,frequency,CHI_1.0e-5,1,2000,0.5,265,250,0.763,0.90473762,125,0,0.0
HD-VF,100,2,0.2,0.2,frequency,CHI_1.0e-5,1,200,0.5,34,36,0.77,0.846491294,115,0,0.0
HD-VF,100,2,0.2,0.2,frequency,CHI_1.0e-5,1,1000,0.5,168,174,0.674,0.892905812,126,0,0.0
HD-VF,100,2,0.2,0.2,frequency,CHI_1.0e-5,1,2000,0.5,235,266,0.759,0.93091627,128,0,0.0
HD-VF,100,4,0.0,0.2,frequency,CHI_1.0e-5,1,200,0.5,61,97,0.3,0.766381639,119,0,0.0
HD-VF,100,4,0.0,0.2,frequency,CHI_1.0e-5,1,1000,0.5,410,445,0.328,0.927778246,138,0,0.0
HD-VF,100,4,0.0,0.2,frequency,CHI_1.0e-5,1,2000,0.5,510,613,0.495,1.173941942,150,0,0.0
HD-VF,100,4,0.2,0.2,frequency,CHI_1.0e-5,1,200,0.5,80,88,0.34,1.169248941,122,0,0.0
HD-VF,100,4,0.2,0.2,frequency,CHI_1.0e-5,1,1000,0.5,366,449,0.318,1.124312695,141,0,0.0
HD-VF,100,4,0.2,0.2,frequency,CHI_1.0e-5,1,2000,0.5,701,701,0.456,1.184856309,140,0,0.0
HD-VF,100,6,0.0,0.2,frequency,CHI_1.0e-5,1,200,0.5,110,112,0.3,1.114245256,142,0,0.0
HD-VF,100,6,0.0,0.2,frequency,CHI_1.0e-5,1,1000,0.5,489,492,0.256,1.179990364,154,0,0.0
HD-VF,100,6,0.0,0.2,frequency,CHI_1.0e-5,1,2000,0.5,1096,1105,0.223,1.33265131,146,0,0.0
HD-VF,100,6,0.2,0.2,frequency,CHI_1.0e-5,1,200,0.5,102,109,0.22,1.305405628,119,0,0.0
HD-VF,100,6,0.2,0.2,frequency,CHI_1.0e-5,1,1000,0.5,507,519,0.208,1.238268559,150,0,0.0
HD-VF,100,6,0.2,0.2,frequency,CHI_1.0e-5,1,2000,0.5,954,961,0.326,1.493317027,155,0,0.0
HD-VF,100,8,0.0,0.2,frequency,CHI_1.0e-5,1,200,0.5,123,144,0.1,1.288716872,132,0,0.0
HD-VF,100,8,0.0,0.2,frequency,CHI_1.0e-5,1,1000,0.5,606,632,0.19,1.267255878,173,0,0.0
HD-VF,100,8,0.0,0.2,frequency,CHI_1.0e-5,1,2000,0.5,1151,1160,0.228,1.591462723,154,0,0.0
HD-VF,100,8,0.2,0.2,frequency,CHI_1.0e-5,1,200,0.5,133,137,0.16,1.354752605,136,0,0.0
HD-VF,100,8,0.2,0.2,frequency,CHI_1.0e-5,1,1000,0.5,516,546,0.234,1.47792331,141,0,0.0
HD-VF,100,8,0.2,0.2,frequency,CHI_1.0e-5,1,2000,0.5,1171,1155,0.242,1.293063964,163,0,0.0
HD-VF,100,10,0.0,0.2,frequency,CHI_1.0e-5,1,200,0.5,151,146,0.13,1.583622851,133,0,0.0
HD-VF,100,10,0.0,0.2,frequency,CHI_1.0e-5,1,1000,0.5,681,662,0.16,1.61310065,160,0,0.0
HD-VF,100,10,0.0,0.2,frequency,CHI_1.0e-5,1,2000,0.5,1154,1197,0.23,1.697894518,148,0,0.0
HD-VF,100,10,0.2,0.2,frequency,CHI_1.0e-5,1,200,0.5,110,139,0.09,1.590239129,122,0,0.0
HD-VF,100,10,0.2,0.2,frequency,CHI_1.0e-5,1,1000,0.5,609,616,0.206,1.74205512,156,0,0.0
HD-VF,100,10,0.2,0.2,frequency,CHI_1.0e-5,1,2000,0.5,1289,1278,0.189,1.701215516,158,0,0.0
HD-VF,100,2,0.0,0.2,random,CHI_1.0e-5,1,200,0.5,1,15,1.15,6.23529578,129,0,0.0
HD-VF,100,2,0.0,0.2,random,CHI_1.0e-5,1,1000,0.5,56,68,1.156,0.938049066,130,0,0.0
HD-VF,100,2,0.0,0.2,random,CHI_1.0e-5,1,2000,0.5,78,88,1.401,0.964027452,137,0,0.0
HD-VF,100,2,0.2,0.2,random,CHI_1.0e-5,1,200,0.5,2,11,1.3,0.93644605,130,0,0.0
HD-VF,100,2,0.2,0.2,random,CHI_1.0e-5,1,1000,0.5,60,77,1.064,0.799550278,130,0,0.0
HD-VF,100,2,0.2,0.2,random,CHI_1.0e-5,1,2000,0.5,85,108,1.15,0.894606411,137,0,0.0
HD-VF,100,4,0.0,0.2,random,CHI_1.0e-5,1,200,0.5,24,47,1.43,0.947324289,135,0,0.0
HD-VF,100,4,0.0,0.2,random,CHI_1.0e-5,1,1000,0.5,186,206,1.096,1.274570224,138,0,0.0
HD-VF,100,4,0.0,0.2,random,CHI_1.0e-5,1,2000,0.5,330,416,0.823,1.145260156,137,0,0.0
HD-VF,100,4,0.2,0.2,random,CHI_1.0e-5,1,200,0.5,22,59,0.8,1.141783187,143,0,0.0
HD-VF,100,4,0.2,0.2,random,CHI_1.0e-5,1,1000,0.5,147,216,0.754,1.16172354,147,0,0.0
HD-VF,100,4,0.2,0.2,random,CHI_1.0e-5,1,2000,0.5,312,302,1.021,1.151400471,142,0,0.0
HD-VF,100,6,0.0,0.2,random,CHI_1.0e-5,1,200,0.5,54,75,0.7,1.221124401,157,0,0.0
HD-VF,100,6,0.0,0.2,random,CHI_1.0e-5,1,1000,0.5,260,267,0.944,1.282925562,161,0,0.0
HD-VF,100,6,0.0,0.2,random,CHI_1.0e-5,1,2000,0.5,499,526,1.057,1.228789675,141,0,0.0
HD-VF,100,6,0.2,0.2,random,CHI_1.0e-5,1,200,0.5,36,58,1.23,1.504902302,157,0,0.0
HD-VF,100,6,0.2,0.2,random,CHI_1.0e-5,1,1000,0.5,188,207,1.472,1.680488548,157,0,0.0
HD-VF,100,6,0.2,0.2,random,CHI_1.0e-5,1,2000,0.5,481,528,0.848,1.507486488,132,0,0.0
HD-VF,100,8,0.0,0.2,random,CHI_1.0e-5,1,200,0.5,65,101,0.36,1.440529437,145,0,0.0
HD-VF,100,8,0.0,0.2,random,CHI_1.0e-5,1,1000,0.5,291,339,0.618,1.493536739,147,0,0.0
HD-VF,100,8,0.0,0.2,random,CHI_1.0e-5,1,2000,0.5,636,670,0.71,1.257857043,147,0,0.0
HD-VF,100,8,0.2,0.2,random,CHI_1.0e-5,1,200,0.5,65,100,0.37,1.453507705,137,0,0.0
HD-VF,100,8,0.2,0.2,random,CHI_1.0e-5,1,1000,0.5,269,334,0.526,1.687961551,165,0,0.0
HD-VF,100,8,0.2,0.2,random,CHI_1.0e-5,1,2000,0.5,661,668,0.549,1.596954992,139,0,0.0
HD-VF,100,10,0.0,0.2,random,CHI_1.0e-5,1,200,0.5,76,79,0.98,1.609604694,149,0,0.0
HD-VF,100,10,0.0,0.2,random,CHI_1.0e-5,1,1000,0.5,394,436,0.418,1.773921918,137,0,0.0
HD-VF,100,10,0.0,0.2,random,CHI_1.0e-5,1,2000,0.5,626,676,0.72,1.627849447,154,0,0.0
HD-VF,100,10,0.2,0.2,random,CHI_1.0e-5,1,200,0.5,79,99,0.32,1.520763866,157,0,0.0
HD-VF,100,10,0.2,0.2,random,CHI_1.0e-5,1,1000,0.5,335,352,0.7,1.725526965,151,0,0.0
HD-VF,100,10,0.2,0.2,random,CHI_1.0e-5,1,2000,0.5,616,634,0.967,1.730875716,144,0,0.0
MD-VF,100,2,0.0,0.0,uniform,CHI_1.0e-5,1,200,0.5,43,59,0.41,6.122363576,100,0,0.0
MD-VF,100,2,0.0,0.0,uniform,CHI_1.0e-5_LS,1,200,0.5,39,58,0.42,6.386671276,100,2,0.0
MD-VF,100,2,0.0,0.0,uniform,CHI_1.0e-5,1,1000,0.5,189,213,0.574,0.80833956,100,0,0.0
MD-VF,100,2,0.0,0.0,uniform,CHI_1.0e-5_LS,1,1000,0.5,173,211,0.578,0.8085596319999999,100,3,0.0
MD-VF,100,2,0.0,0.0,uniform,CHI_1.0e-5,1,2000,0.5,405,417,0.583,0.80259637,100,0,0.0
MD-VF,100,2,0.0,0.0,uniform,CHI_1.0e-5_LS,1,2000,0.5,387,428,0.572,0.802826622,100,2,0.0
MD-VF,100,2,0.2,0.0,uniform,CHI_1.0e-5,1,200,0.5,19,38,0.62,0.952298417,100,0,0.0
MD-VF,100,2,0.2,0.0,uniform,CHI_1.0e-5_LS,1,200,0.5,18,37,0.63,0.952404556,100,2,0.0
MD-VF,100,2,0.2,0.0,uniform,CHI_1.0e-5,1,1000,0.5,158,166,0.668,0.914646732,100,0,0.0
MD-VF,100,2,0.2,0.0,uniform,CHI_1.0e-5_LS,1,1000,0.5,147,176,0.648,0.914822772,100,2,0.0
MD-VF,100,2,0.2,0.0,uniform,CHI_1.0e-5,1,2000,0.5,329,340,0.66,1.067271329,100,0,0.0
MD-VF,100,2,0.2,0.0,uniform,CHI_1.0e-5_LS,1,2000,0.5,306,328,0.672,1.06758112,100,5,0.0
MD-VF,100,4,0.0,0.0,uniform,CHI_1.0e-5,1,200,0.5,72,85,0.32,0.897568395,100,0,0.0
MD-VF,100,4,0.0,0.0,uniform,CHI_1.0e-5_LS,1,200,0.5,58,96,0.27,0.8976944,100,3,0.0
MD-VF,100,4,0.0,0.0,uniform,CHI_1.0e-5,1,1000,0.5,398,438,0.314,0.88056527,100,0,0.0
MD-VF,100,4,0.0,0.0,uniform,CHI_1.0e-5_LS,1,1000,0.5,353,423,0.332,0.880878298,100,5,0.0
MD-VF,100,4,0.0,0.0,uniform,CHI_1.0e-5,1,2000,0.5,740,771,0.37,1.229490589,100,0,0.0
MD-VF,100,4,0.0,0.0,uniform,CHI_1.0e-5_LS,1,2000,0.5,668,766,0.373,1.2300226580000002,100,6,0.0
MD-VF,100,4,0.2,0.0,uniform,CHI_1.0e-5,1,200,0.5,59,76,0.35,1.1157726,100,0,0.0
MD-VF,100,4,0.2,0.0,uniform,CHI_1.0e-5_LS,1,200,0.5,59,76,0.35,1.1159020229999999,100,1,0.0
MD-VF,100,4,0.2,0.0,uniform,CHI_1.0e-5,1,1000,0.5,341,373,0.4,1.229083967,100,0,0.0
MD-VF,100,4,0.2,0.0,uniform,CHI_1.0e-5_LS,1,1000,0.5,306,353,0.416,1.229474188,100,5,0.0
MD-VF,100,4,0.2,0.0,uniform,CHI_1.0e-5,1,2000,0.5,711,782,0.354,1.181206224,100,0,0.0
MD-VF,100,4,0.2,0.0,uniform,CHI_1.0e-5_LS,1,2000,0.5,684,833,0.343,1.181676525,100,5,0.0
MD-VF,100,6,0.0,0.0,uniform,CHI_1.0e-5,1,200,0.5,104,128,0.14,1.198027718,100,0,0.0
MD-VF,100,6,0.0,0.0,uniform,CHI_1.0e-5_LS,1,200,0.5,94,121,0.17,1.198194299,100,3,0.0
MD-VF,100,6,0.0,0.0,uniform,CHI_1.0e-5,1,1000,0.5,432,529,0.242,1.339879645,100,0,0.0
MD-VF,100,6,0.0,0.0,uniform,CHI_1.0e-5_LS,1,1000,0.5,392,522,0.264,1.340357662,100,4,0.0
MD-VF,100,6,0.0,0.0,uniform,CHI_1.0e-5,1,2000,0.5,930,1012,0.263,1.267001741,100,0,0.0
MD-VF,100,6,0.0,0.0,uniform,CHI_1.0e-5_LS,1,2000,0.5,884,970,0.28,1.2675927400000002,100,6,0.0
MD-VF,100,6,0.2,0.0,uniform,CHI_1.0e-5,1,200,0.5,94,124,0.16,1.3367472,100,0,0.0
